	symbol	available_exchanges	currency_base	currency_quote
1913	LAZ/USD	['Synthetic']	Lazaruscoin	US Dollar
1914	LBA/USD	['Gate.io']	Cred	US Dollar
1915	LBC/BTC	['Bittrex']	LBRY Credits	Bitcoin
1916	LBC/USD	['Synthetic']	LBRY Credits	US Dollar
1917	LBTC/USD	['Uniswap']	Lombard Staked BTC	US Dollar
1918	LBTCX/BTC	['YoBit']	LiteBitcoin	Bitcoin
1919	LBTCX/USD	['YoBit']	LiteBitcoin	US Dollar
1920	LCC/BTC	['HitBTC', 'SouthXchange']	Litecoin Cash	Bitcoin
1921	LCC/USD	['SouthXchange', 'YoBit']	Litecoin Cash	US Dollar
1922	LCE/USD	['Synthetic']	LitecoinExtreme	US Dollar
1923	LCP/BTC	['Crex24']	Litecoin Plus	Bitcoin
1924	LCP/USD	['Synthetic']	Litecoin Plus	US Dollar
1925	LDC/BNT	['Bancor Network']	Leadcoin	Bancor
1926	LDC/USD	['Synthetic']	Leadcoin	US Dollar
1927	LDO/BTC	['Binance']	Lido DAO	Bitcoin
1928	LDOGE/USD	['Synthetic']	LiteDoge	US Dollar
1929	LDO/USD	['Binance', 'Gate.io']	Lido DAO	US Dollar
1930	LEA/USD	['Synthetic']	LeaCoin	US Dollar
1931	LEOu/BTC	['Bitfinex']	UNUS SED LEO	Bitcoin
1932	LEOu/CAD	['Synthetic']	UNUS SED LEO	Canadian Dollar
1933	LEOu/ETH	['Bitfinex']	UNUS SED LEO	Ethereum
1934	LEOu/USD	['Bitfinex', 'Gate.io']	UNUS SED LEO	US Dollar
1935	LEPEN/USD	['Synthetic']	LePen	US Dollar
1936	LINA/BTC	['Binance']	Linear	Bitcoin
1937	LINA/USD	['Binance']	Linear	US Dollar
1938	LINDA/USD	['Synthetic']	Linda	US Dollar
1939	LINK/BRL	['Binance', 'MercadoBitcoin']	Chainlink	Brazil Real
1940	LINK/BTC	['Binance', 'Huobi']	Chainlink	Bitcoin
1941	LINK/CAD	['Synthetic']	Chainlink	Canadian Dollar
1942	LINK/ETH	['Binance', 'Bitrue']	Chainlink	Ethereum
1943	LINK/EUR	['Binance', 'Coinbase Pro', 'Kraken']	Chainlink	Euro
1944	LINK/TRY	['BTCTurk', 'Paribu']	Chainlink	Turkish Lira
1945	LINK/USD	['Binance', 'Huobi']	Chainlink	US Dollar
1946	LINK/XRP	['Bitrue']	Chainlink	XRP
1947	LINX/BTC	['NLexch']	Linx	Bitcoin
1948	LINX/USD	['Synthetic']	Linx	US Dollar
1949	LION/USD	['Synthetic']	Lion Coin	US Dollar
1950	LIR/USD	['Synthetic']	LetItRide	US Dollar
1951	LIZA/BTC	['YoBit']	LIZA	Bitcoin
1952	LIZA/USD	['Synthetic']	LIZA	US Dollar
1953	LIZ/USD	['Synthetic']	Lizus	US Dollar
1954	LKC/USD	['Synthetic']	LinkedCoin	US Dollar
1955	LKK/CHF	['Lykke']	Lykke	Swiss Franc
1956	LKK/USD	['Synthetic']	Lykke	US Dollar
1957	LKRc/BTC	['Crex24']	LKRCoin	Bitcoin
1958	LKRc/USD	['Synthetic']	LKRCoin	US Dollar
1959	LMC/USD	['Synthetic']	LoMoCoin	US Dollar
1960	LND/ETH	['HitBTC']	Lendingblock	Ethereum
1961	LND/USD	['Synthetic']	LendingBlock	US Dollar
1962	LNK/USD	['Synthetic']	Link Platform	US Dollar
1963	LNX/USD	['ProBit Exchange']	LNX Protocol	US Dollar
1964	LOC/BTC	['HitBTC', 'YoBit']	LockTrip	Bitcoin
1965	LOC/DOGE	['YoBit']	LockTrip	Dogecoin
1966	LOC/RUB	['YoBit']	LockTrip	Russian Ruble
1967	LOC/USD	['HitBTC', 'YoBit']	LockTrip	US Dollar
1968	LOC/WAVES	['YoBit']	LockTrip	Waves
1969	LOKI/BTC	['Kucoin']	Loki	Bitcoin
1970	LOKI/ETH	['Kucoin']	Loki	Ethereum
1971	LOKI/USD	['Synthetic']	Loki	US Dollar
1972	LOOM/BTC	['Binance', 'Huobi']	Loom Network	Bitcoin
1973	LOOM/ETH	['Binance', 'Hotbit']	Loom Network	Ethereum
1974	LOOM/KRW	['Upbit']	Loom Network	Korean Won
1975	LOOM/USD	['Synthetic']	Loom Network	US Dollar
1976	LOT/USD	['Synthetic']	LottoCoin	US Dollar
1977	LPC/BTC	['Crex24']	Lightpaycoin	Bitcoin
1978	LPC/USD	['Synthetic']	Lightpaycoin	US Dollar
1979	LPT/USD	['Binance', 'Coinbase Pro']	Livepeer	US Dollar
1980	LQTY/USD	['Huobi']	Liquity	US Dollar
1981	LRC/BTC	['Binance', 'OKEx']	Loopring	Bitcoin
1982	LRC/ETH	['Binance', 'HitBTC']	Loopring	Ethereum
1983	LRC/EUR	['Kraken']	Loopring	Euro
1984	LRC/KRW	['Bithumb']	Loopring	Korean Won
1985	LRC/TRY	['Paribu']	Loopring	Turkish Lira
1986	LRC/USD	['Binance', 'Gate.io', 'OKEx']	Loopring	US Dollar
1987	LSK/AUD	['Synthetic']	Lisk	Australian Dollar
1988	LSK/BTC	['Binance', 'HitBTC']	Lisk	Bitcoin
1989	LSK/CAD	['Synthetic']	Lisk	Canadian Dollar
1990	LSK/CNY	['Synthetic']	Lisk	Chinese Yuan
1991	LSK/ETH	['Binance']	Lisk	Ethereum
1992	LSK/EUR	['BitBay']	Lisk	Euro
1993	LSK/HKD	['Synthetic']	Lisk	Hong Kong Dollar
1994	LSK/ILS	['Synthetic']	Lisk	Israeli Shekel
1995	LSK/INR	['Synthetic']	Lisk	Indian Rupee
1996	LSK/KRW	['Synthetic', 'Upbit']	Lisk	Korean Won
1997	LSK/MXN	['Synthetic']	Lisk	Mexican Peso
1998	LSK/MYR	['Synthetic']	Lisk	Malaysian Ringgit
1999	LSK/PLN	['BitBay', 'Synthetic']	Lisk	Polish Zloty
2000	LSK/RUB	['Synthetic']	Lisk	Russian Ruble
2001	LSK/SAR	['Synthetic']	Lisk	Saudi Riyal
2002	LSK/SEK	['Synthetic']	Lisk	Swedish Krona
2003	LSK/TRY	['Synthetic']	Lisk	Turkish Lira
2004	LSK/USD	['Binance', 'Gate.io']	Lisk	US Dollar
2005	LSK/VND	['Synthetic']	Lisk	Vietnamese Dong
2006	LSK/ZAR	['Synthetic']	Lisk	South African Rand
2007	LTB/BTC	['FreiExchange']	LiteBar	Bitcoin
2008	LTB/USD	['Synthetic']	LiteBar	US Dollar
2009	LTC/AUD	['BTC Markets', 'Synthetic']	Litecoin	Australian Dollar
2010	LTC/BCH	['CoinEx']	Litecoin	Bitcoin Cash
2011	LTC/BNB	['Binance']	Litecoin	Binance Coin
2012	LTC/BRL	['Binance', 'MercadoBitcoin', 'NovaDAX']	Litecoin	Brazil Real
2013	LTC/BTC	['HitBTC', 'OKEx']	Litecoin	Bitcoin
2014	LTC/CAD	['Synthetic']	Litecoin	Canadian Dollar
2015	LTC/CNY	['Synthetic']	Litecoin	Chinese Yuan
2016	LTC/EOS	['HitBTC']	Litecoin	EOS
2017	LTC/ETH	['Bibox', 'Binance', 'p2pb2b']	Litecoin	Ethereum
2018	LTC/EUR	['BitStamp', 'Coinbase Pro']	Litecoin	Euro
2019	LTC/GBP	['Coinbase Pro']	Litecoin	British Pound
2020	LTC/HKD	['Synthetic']	Litecoin	Hong Kong Dollar
2021	LTC/IDR	['BTC Indonesia']	Litecoin	Indonesian Rupiah
2022	LTC/ILS	['Synthetic']	Litecoin	Israeli Shekel
2023	LTC/INR	['Bitbns', 'Synthetic']	Litecoin	Indian Rupee
2024	LTC/JPY	['Bitbank']	Litecoin	Japanese Yen
2025	LTC/KRW	['Bithumb', 'Upbit']	Litecoin	Korean Won
2026	LTC/MXN	['Synthetic']	Litecoin	Mexican Peso
2027	LTC/MYR	['Luno', 'Synthetic']	Litecoin	Malaysian Ringgit
2028	LTC/NGN	['Luno']	Litecoin	Nigerian Naira
2029	LTC/PLN	['BitBay', 'Synthetic']	Litecoin	Polish Zloty
2030	LTCR/BTC	['YoBit']	Litecred	Bitcoin
2031	LTC/RUB	['Exmo', 'Synthetic']	Litecoin	Russian Ruble
2032	LTCR/USD	['Synthetic']	Litecred	US Dollar
2033	LTC/SAR	['Synthetic']	Litecoin	Saudi Riyal
2034	LTC/SEK	['Synthetic']	Litecoin	Swedish Krona
2035	LTC/THB	['Bitkub']	Litecoin	Thai Baht
2036	LTC/TRY	['Bitexen', 'BTCTurk', 'Paribu', 'Synthetic']	Litecoin	Turkish Lira
2037	LTCU/BTC	['YoBit']	LiteCoin Ultra	Bitcoin
2038	LTC/USD	['Binance', 'Coinbene']	Litecoin	US Dollar
2039	LTCU/USD	['Synthetic']	LiteCoin Ultra	US Dollar
2040	LTC/VND	['Synthetic']	Litecoin	Vietnamese Dong
2041	LTC/ZAR	['Luno', 'Synthetic']	Litecoin	South African Rand
2042	LTG/USD	['Synthetic']	LiteCoin Gold	US Dollar
2043	LTH/USD	['Synthetic']	LAthaan	US Dollar
2044	LUMIA/USD	['Binance']	Lumia	US Dollar
2045	LUNA/BTC	['YoBit']	Luna Coin	Bitcoin
2046	LUNAt/BRL	['Synthetic']	Terra	Brazil Real
2047	LUNAt/BTC	['Binance', 'Huobi']	Terra	Bitcoin
2048	LUNAt/CAD	['Synthetic']	Terra	Canadian Dollar
2049	LUNAt/EUR	['Binance']	Terra	Euro
2050	LUNAt/INR	['Bitbns']	Terra	Indian Rupee
2051	LUNAt/TRY	['Binance']	Terra	Turkish Lira
2052	LUNAt/USD	['Binance', 'Huobi']	Terra	US Dollar
2053	LUNA/USD	['Synthetic']	Luna Coin	US Dollar
2054	LUN/BTC	['Huobi']	Lunyr	Bitcoin
2055	LUNC/BRL	['Synthetic']	Terra Classic	Brazil Real
2056	LUNC/CAD	['Synthetic']	Terra Classic	Canadian Dollar
2057	LUNC/USD	['Gate.io', 'Huobi', 'Kucoin']	Terra Classic	US Dollar
2058	LUN/ETH	['YoBit']	Lunyr	Ethereum
2059	LUN/USD	['Synthetic']	Lunyr	US Dollar
2060	LUSD/USD	['Uniswap']	Liquidity USD	US Dollar
2061	LUX/BTC	['TradeOgre']	LUXCoin	Bitcoin
2062	LUX/USD	['Synthetic']	LUXCoin	US Dollar
2063	LVPS/USD	['Synthetic']	LevoPlus	US Dollar
2064	LYL/BTC	['ProBit Exchange']	LoyalCoin	Bitcoin
2065	LYL/USD	['Synthetic']	LoyalCoin	US Dollar
2066	LYM/BTC	['Huobi', 'Kucoin']	Lympo	Bitcoin
2067	LYM/ETH	['Huobi', 'Kucoin']	Lympo	Ethereum
2068	LYM/USD	['Gate.io', 'Kucoin']	Lympo	US Dollar
2069	MAC/USD	['Synthetic']	Machinecoin	US Dollar
2070	MAGN/USD	['Synthetic']	Magnetcoin	US Dollar
2071	MAGT/USD	['Synthetic']	Magnet	US Dollar
2072	MAID/BTC	['Bittrex', 'HitBTC']	MaidSafeCoin	Bitcoin
2073	MAID/ETH	['HitBTC']	MaidSafeCoin	Ethereum
2074	MAID/USD	['HitBTC']	MaidSafeCoin	US Dollar
2075	MANA/BRL	['NovaDAX']	Decentraland	Brazil Real
2076	MANA/BTC	['Binance', 'OKEx']	Decentraland	Bitcoin
2077	MANA/CAD	['Synthetic']	Decentraland	Canadian Dollar
2078	MANA/ETH	['Binance', 'Huobi', 'OKEx']	Decentraland	Ethereum
2079	MANA/EUR	['Coinbase Pro', 'Kraken']	Decentraland	Euro
2080	MANA/INR	['Bitbns']	Decentraland	Indian Rupee
2081	MANA/TRY	['Binance']	Decentraland	Turkish Lira
2082	MANA/USD	['Binance', 'Gate.io', 'OKEx']	Decentraland	US Dollar
2083	MAN/BTC	['Huobi', 'Kucoin']	Matrix AI Network	Bitcoin
2084	MAN/ETH	['Huobi']	Matrix AI Network	Ethereum
2085	Manna/USD	['Kraken']	Manna	US Dollar
2086	MANTA/USD	['Binance']	Manta Network	US Dollar
2087	MAN/USD	['Synthetic']	Martix AI Network	US Dollar
2088	MAO/BTC	['YoBit']	Mao Zedong	Bitcoin
2089	MAO/USD	['Synthetic']	Mao Zedong	US Dollar
2090	MARc/BTC	['Crex24']	Mchain	Bitcoin
2091	MARc/ETH	['Crex24']	Mchain	Ethereum
2092	MARc/USD	['Synthetic']	Mchain	US Dollar
2093	MARO/USD	['Bibox']	Maro	US Dollar
2094	MARS/USD	['Synthetic']	Marscoin	US Dollar
2095	MARX/USD	['Synthetic']	MarxCoin	US Dollar
2096	MASK/USD	['Binance', 'Coinbase Pro', 'Gate.io']	Mask Network	US Dollar
2097	MATIC/BNB	['Binance']	Polygon	Binance Coin
2098	MATIC/BRL	['Binance']	Polygon	Brazil Real
2099	MATIC/BTC	['Binance']	Polygon	Bitcoin
2100	MATIC/CAD	['Synthetic']	Polygon	Canadian Dollar
2101	MATIC/EUR	['Binance', 'Kraken']	Polygon	Euro
2102	MATIC/INR	['Bitbns']	Polygon	Indian Rupee
2103	MATIC/TRY	['BTCTurk']	Polygon	Turkish Lira
2104	MATIC/USD	['Binance', 'Dcoin']	Polygon	US Dollar
2105	MAVRO/BTC	['YoBit']	Mavro	Bitcoin
2106	MAVRO/USD	['Synthetic']	Mavro	US Dollar
2107	MAX/BTC	['YoBit']	MaxCoin	Bitcoin
2108	MAX/USD	['Synthetic']	MaxCoin	US Dollar
2109	MAY/USD	['Synthetic']	Theresa May Coin	US Dollar
2110	MAZA/USD	['Synthetic']	MazaCoin	US Dollar
2111	MBOX/BTC	['Binance']	MOBOX	Bitcoin
2112	MBOX/BUSD	['Binance']	MOBOX	Binance USD
2113	MBOX/USD	['Binance']	MOBOX	US Dollar
2114	MBRS/USD	['Synthetic']	Embers	US Dollar
2115	MCAP/USD	['Synthetic']	MCAP	US Dollar
2116	MCI/USD	['Synthetic']	Musiconomi	US Dollar
2117	MCO/USD	['OKEx', 'YoBit']	Crypto.com	US Dollar
2118	MCR/BTC	['Livecoin']	Macro	Bitcoin
2119	MCR/USD	['Synthetic']	Macro	US Dollar
2120	MDA/BTC	['Binance']	Moeda Loyalty Points	Bitcoin
2121	MDA/ETH	['Gate.io']	Moeda Loyalty Points	Ethereum
2122	MDA/USD	['Gate.io']	Moeda Loyalty Points	US Dollar
2123	MDS/BTC	['Huobi']	MediShares	Bitcoin
2124	MDS/ETH	['Gate.io', 'Huobi']	MediShares	Ethereum
2125	MDS/USD	['Gate.io']	MediShares	US Dollar
2126	MDT/BTC	['Gate.io']	Measurable Data Token 	Bitcoin
2127	MDT/ETH	['Gate.io']	Measurable Data Token	Ethereum
2128	MDT/USD	['Gate.io', 'OKEx']	Measurable Data Token	US Dollar
2129	MDX/USD	['Binance', 'Huobi']	Mdex	US Dollar
2130	MEC/BTC	['Crex24']	Megacoin	Bitcoin
2131	MEC/USD	['Synthetic']	Megacoin	US Dollar
2132	MED/USD	['Gate.io']	Medibloc	US Dollar
2133	MEDX/BTC	['Kryptono']	MediBloc [ERC20]	Bitcoin
2134	MEDX/USD	['Synthetic']	MediBloc [ERC20]	US Dollar
2135	MER/BTC	['Bittrex']	Mercury	Bitcoin
2136	MERI/BTC	['Crex24']	Merebel	Bitcoin
2137	MERI/USD	['Synthetic']	Merebel	US Dollar
2138	MERL/USD	['OKX']	Merlin Chain	US Dollar
2139	MER/USD	['Synthetic']	Mercury	US Dollar
2140	METAL/BTC	['YoBit']	MetalCoin	Bitcoin
2141	METAL/USD	['Synthetic']	MetalCoin	US Dollar
2142	MET/BTC	['Hotbit']	Metronome	Bitcoin
2143	MET/ETH	['Hotbit']	Metronome	Ethereum
2144	METIS/ETH	['Gate.io']	MetisDAO	Ethereum
2145	METIS/USD	['Gate.io']	MetisDAO	US Dollar
2146	MET/USD	['Gate.io', 'Synthetic']	Metronome	US Dollar
2147	MEXC/BTC	['Bilaxy']	MEXC Token	Bitcoin
2148	MEXC/USD	['Synthetic']	MEXC Token	US Dollar
2149	MFT/BNB	['Binance']	Mainframe	Binance Coin
2150	MFT/BTC	['Bittrex']	Mainframe	Bitcoin
2151	MFT/ETH	['Binance']	Mainframe	Ethereum
2152	MFT/KRW	['Upbit']	Mainframe	Korean Won
2153	MFT/USD	['Binance', 'Synthetic']	Mainframe	US Dollar
2154	MGC/USD	['Synthetic']	MergeCoin	US Dollar
2155	MGM/USD	['Synthetic']	Magnum	US Dollar
2156	MGO/USD	['BitForex']	MobileGo	US Dollar
2157	MHC/BTC	['BitForex', 'Kucoin']	#MetaHash	Bitcoin
2158	MHC/ETH	['CEX.IO', 'Kucoin']	#MetaHash	Ethereum
2159	MHC/EUR	['CEX.IO']	#MetaHash	Euro
2160	MHC/GBP	['CEX.IO']	#MetaHash	British Pound
2161	MHC/USD	['CEX.IO', 'Kucoin']	#MetaHash	US Dollar
2162	MIC/USD	['Synthetic']	Mindexcoin	US Dollar
2163	MILO/BTC	['YoBit']	MiloCoin	Bitcoin
2164	MILO/USD	['Synthetic']	MiloCoin	US Dollar
2165	MINA/BTC	['Binance']	Mina	Bitcoin
2166	MINA/USD	['Binance']	Mina	US Dollar
2167	MIN/BTC	['CoinTiger']	MINDOL	Bitcoin
2168	MINEX/USD	['Synthetic']	Minex	US Dollar
2169	MINTME/USD	['Synthetic']	MintMe.com Coin	US Dollar
2170	MIN/USD	['Synthetic']	MINDOL	US Dollar
2171	MITH/BNB	['Binance']	Mithril	Binance Coin
2172	MITH/BTC	['Binance', 'OKEx']	Mithril	Bitcoin
2173	MITH/ETH	['Gate.io', 'HitBTC']	Mithril	Ethereum
2174	MITH/USD	['Binance', 'OKEx']	Mithril	US Dollar
2175	MKR/BTC	['Binance']	Maker	Bitcoin
2176	MKR/ETH	['Bibox', 'Gate.io']	Maker	Ethereum
2177	MKR/INR	['Bitbns']	Maker	Indian Rupee
2178	MKR/TRY	['Paribu']	Maker	Turkish Lira
2179	MKR/USD	['HitBTC', 'OKEx']	Maker	US Dollar
2180	MLN/BTC	['Kraken']	Melon	Bitcoin
2181	MLN/ETH	['Kraken']	Melon	Ethereum
2182	MLN/USD	['Ethfinex']	Melon	US Dollar
2183	MM/KRW	['Bithumb']	MilliMeter	Korean Won
2184	MM/USD	['Synthetic']	MilliMeter	US Dollar
2185	MMXVI/USD	['Synthetic']	MMXVI	US Dollar
2186	MND/BTC	['YoBit']	MindCoin	Bitcoin
2187	MND/USD	['Synthetic']	MindCoin	US Dollar
2188	MNM/USD	['Synthetic']	Mineum	US Dollar
2189	MNTP/BTC	['YoBit']	GoldMint	Bitcoin
2190	MNTP/ETH	['YoBit']	GoldMint	Ethereum
2191	MNTP/USD	['Synthetic', 'YoBit']	GoldMint	US Dollar
2192	MNT/USD	['Bybit']	Mantle	US Dollar
2193	MNX/USD	['Livecoin']	MinexCoin	US Dollar
2194	MOAC/ETH	['TOKOK']	MOAC	Ethereum
2195	MOAC/USD	['Coinbene']	MOAC	US Dollar
2196	MOB/BTC	['Binance']	MobileCoin	Bitcoin
2197	MOBI/USD	['Gate.io']	Mobius	US Dollar
2198	MOB/USD	['Binance']	MobileCoin	US Dollar
2199	MODE/USD	['Gate.io']	Mode	US Dollar
2200	MOIN/BTC	['Livecoin']	Moin	Bitcoin
2201	MOIN/USD	['Synthetic']	Moin	US Dollar
2202	MOJO/BTC	['YoBit']	MojoCoin	Bitcoin
2203	MOJO/USD	['Synthetic']	MojoCoin	US Dollar
2204	MONA/BTC	['Bitbank', 'Bittrex']	MonaCoin	Bitcoin
2205	MONA/JPY	['Bitbank', 'Zaif']	MonaCoin	Japanese Yen
2206	MONA/USD	['Synthetic']	MonaCoin	US Dollar
2207	MONETA/BTC	['YoBit']	Moneta	Bitcoin
2208	MONETA/USD	['Synthetic']	Moneta	US Dollar
2209	MONEY/USD	['Synthetic']	MoneyCoin	US Dollar
2210	MONK/BTC	['Crex24']	Monkey Project	Bitcoin
2211	MONK/USD	['Synthetic']	Monkey Project	US Dollar
2212	MORPHO/USD	['OKX']	Morpho	US Dollar
2213	MOTO/BTC	['YoBit']	Motocoin	Bitcoin
2214	MOTO/USD	['Synthetic']	Motocoin	US Dollar
2215	MOVR/USD	['Gate.io', 'Kucoin']	Moonriver	US Dollar
2216	MPL/USD	['Coinbase Pro', 'Gate.io']	Maple	US Dollar
2217	MRJA/USD	['Synthetic']	GanjaCoin	US Dollar
2218	MRT/USD	['Synthetic']	Miners Reward Token	US Dollar
2219	MRT/WAVES	['Waves Decentralized Exchange']	Miners' Reward Token	Waves
2220	MSP/USD	['Synthetic']	Mothership	US Dollar
2221	MST/BTC	['YoBit']	MustangCoin	Bitcoin
2222	MST/USD	['Synthetic']	MustangCoin	US Dollar
2223	MTC/ETH	['Kucoin', 'YoBit']	doc.com Token	Ethereum
2224	MTC/USD	['Synthetic']	doc.com Token	US Dollar
2225	MTH/BTC	['Binance', 'HitBTC']	Monetha	Bitcoin
2226	MTH/ETH	['Mercatox']	Monetha	Ethereum
2227	MTH/USD	['Synthetic']	Monetha	US Dollar
2228	MTL/BTC	['Binance', 'Huobi']	Metal	Bitcoin
2229	MTL/ETH	['Binance', 'Exrates']	Metal	Ethereum
2230	MTL/KRW	['Bithumb', 'Upbit']	Metal	Korean Won
2231	MTLMC3/USD	['Synthetic']	Metal Music Coin	US Dollar
2232	MTL/USD	['Binance', 'Synthetic']	Metal	US Dollar
2233	MTN/BTC	['Huobi']	Medicalchain	Bitcoin
2234	MTNC/USD	['Synthetic']	Masternodecoin	US Dollar
2235	MTN/ETH	['Gate.io']	Medicalchain	Ethereum
2236	MTN/USD	['Gate.io', 'Synthetic']	Medicalchain	US Dollar
2237	MUE/BTC	['Bittrex']	MonetaryUnit	Bitcoin
2238	MUE/USD	['Synthetic']	MonetaryUnit	US Dollar
2239	MUSIC/USD	['Synthetic']	Musicoin	US Dollar
2240	MVL/BTC	['Upbit']	MVL	Bitcoin
2241	MVL/KRW	['Upbit']	MVL	Korean Won
2242	MVL/USD	['Synthetic']	MVL	US Dollar
2243	MWAT/BTC	['Kucoin']	Restart Energy MWAT	Bitcoin
2244	MWAT/ETH	['Kucoin']	Restart Energy MWAT	Ethereum
2245	MWAT/USD	['Synthetic']	Restart Energy MWAT	US Dollar
2246	MXM/USD	['Coinbene']	Maximine Coin	US Dollar
2247	MXT/BTC	['Crex24']	MarteXcoin	Bitcoin
2248	MXT/USD	['Synthetic']	MarteXcoin	US Dollar
2249	MYB/BTC	['ProBit Exchange']	MyBit	Bitcoin
2250	MYB/USD	['Synthetic']	MyBit Token	US Dollar
2251	MYST/BTC	['HitBTC']	Mysterium	Bitcoin
2252	MYST/ETH	['HitBTC']	Mysterium	Ethereum
2253	MYST/USD	['Synthetic']	Mysterium	US Dollar
2254	NAMO/USD	['Synthetic']	NamoCoin	US Dollar
2255	NANJ/ETH	['Mercatox']	NANJCOIN	Ethereum
2256	NANJ/USD	['Synthetic']	NANJCOIN	US Dollar
2257	NANO/BTC	['Binance', 'OKEx']	Nano	Bitcoin
2258	NANO/DOGE	['Mercatox']	Nano	Dogecoin
2259	NANO/ETH	['Binance', 'Huobi']	Nano	Ethereum
2260	NANO/EUR	['Kraken']	Nano	Euro
2261	NANO/USD	['Binance', 'OKEx']	Nano	US Dollar
2262	NANOX/BTC	['YoBit']	Project-X	Bitcoin
2263	NANOX/USD	['Synthetic']	Project-X	US Dollar
2264	NAS/BTC	['Binance', 'OKEx']	Nebulas	Bitcoin
2265	NAS/ETH	['Binance', 'Huobi']	Nebulas	Ethereum
2266	NAS/USD	['Huobi', 'OKEx']	Nebulas	US Dollar
2267	NAV/BTC	['Binance', 'Bittrex']	NAV Coin	Bitcoin
2268	NAV/USD	['Synthetic']	NavCoin	US Dollar
2269	NBIT/USD	['Synthetic']	netBit	US Dollar
2270	NBR/BTC	['Crex24', 'TradeOgre']	Niobio Cash	Bitcoin
2271	NBR/USD	['Synthetic']	Niobio Cash	US Dollar
2272	NCASH/BTC	['Huobi']	Nucleus Vision	Bitcoin
2273	NCASH/ETH	['Binance']	Nucleus Vision	Ethereum
2274	NCASH/USD	['Synthetic']	Nucleus Vision	US Dollar
2275	NEAR/BTC	['Binance', 'Huobi']	NEAR Protocol	Bitcoin
2276	NEAR/CAD	['Synthetic']	NEAR Protocol	Canadian Dollar
2277	NEAR/INR	['Bitbns']	NEAR Protocol	Indian Rupee
2278	NEAR/USD	['Binance', 'Huobi']	NEAR Protocol	US Dollar
2279	NEBL/BTC	['Binance', 'HitBTC']	Neblio	Bitcoin
2280	NEBL/ETH	['Binance', 'HitBTC']	Neblio	Ethereum
2281	NEBL/USD	['Synthetic']	Neblio	US Dollar
2282	NEC/USD	['Ethfinex']	Nectar	US Dollar
2283	NEO/AUD	['Synthetic']	NEO	Australian Dollar
2284	NEO/BNB	['Binance']	NEO	Binance Coin
2285	NEO/BTC	['Bibox', 'Binance', 'OKEx']	Neo	Bitcoin
2286	NEO/CAD	['Synthetic']	NEO	Canadian Dollar
2287	NEO/CNY	['Synthetic']	NEO	Chinese Yuan
2288	NEO/EOS	['HitBTC']	NEO	EOS
2289	NEO/ETH	['Bibox', 'Binance', 'BitMart']	NEO	Ethereum
2290	NEO/EUR	['Bitfinex', 'Bitpanda Pro', 'Synthetic']	Neo Euro	Euro
2291	NEO/GBP	['Bitfinex', 'CEX.IO']	Neo British Pound	British Pound
2292	NEOG/USD	['Synthetic']	NEO GOLD	US Dollar
2293	NEO/HKD	['Synthetic']	NEO	Hong Kong Dollar
2294	NEO/ILS	['Synthetic']	NEO	Israeli Shekel
2295	NEO/INR	['Bitbns', 'Synthetic']	NEO	Indian Rupee
2296	NEO/JPY	['Bitfinex']	NEO	Japanese Yen
2297	NEO/KCS	['Kucoin']	NEO	KuCoin Shares
2298	NEO/KRW	['Upbit']	NEO	Korean Won
2299	NEO/MXN	['Synthetic']	NEO	Mexican Peso
2300	NEO/MYR	['Synthetic']	NEO	Malaysian Ringgit
2301	NEON/USD	['Gate.io']	Neon EVM	US Dollar
2302	NEO/PLN	['Synthetic']	NEO	Polish Zloty
2303	NEO/RUB	['Exmo', 'Synthetic']	NEO	Russian Ruble
2304	NEO/SAR	['Synthetic']	NEO	Saudi Riyal
2305	NEO/SEK	['Synthetic']	NEO	Swedish Krona
2306	NEOS/USD	['Synthetic']	NeosCoin	US Dollar
2307	NEO/THB	['Synthetic']	NEO	Thai Baht
2308	NEO/TRY	['Binance', 'Bitexen', 'BTCTurk', 'Paribu', 'Synthetic']	Neo	Turkish Lira
2309	NEO/USD	['Binance', 'OKEx']	NEO	US Dollar
2310	NEO/VND	['Synthetic']	NEO	Vietnamese Dong
2311	NEO/ZAR	['AltCoinTrader', 'Synthetic']	NEO	South African Rand
2312	NETKO/BTC	['YoBit']	Netko	Bitcoin
2313	NETKO/USD	['Synthetic']	Netko	US Dollar
2314	NET/USD	['Synthetic']	NetCoin	US Dollar
2315	NEU/BTC	['HitBTC']	Neumark	Bitcoin
2316	NEU/ETH	['HitBTC']	Neumark	Ethereum
2317	NEU/PLN	['BitBay']	Neumark	Polish Zloty
2318	NEU/USD	['HitBTC']	Neumark	US Dollar
2319	NEVA/BTC	['YoBit']	NevaCoin	Bitcoin
2320	NEVA/USD	['Synthetic']	NevaCoin	US Dollar
2321	NEWB/USD	['Synthetic']	Newbium	US Dollar
2322	NEXO/BTC	['HitBTC', 'Hotbit', 'Huobi', 'Mercatox']	Nexo	Bitcoin
2323	NEXO/ETH	['Hotbit', 'Huobi']	Nexo	Ethereum
2324	NEXO/USD	['Hotbit', 'Synthetic']	Nexo	US Dollar
2325	NEXO/XRP	['Bitrue']	Nexo	XRP
2326	NFT/USD	['Huobi', 'OKX']	APENFT	US Dollar
2327	NGC/BTC	['HitBTC']	NAGA	Bitcoin
2328	NGC/ETH	['HitBTC']	NAGA	Ethereum
2329	NGC/USD	['Synthetic']	NAGA	US Dollar
2330	NICASH/ETH	['LATOKEN']	Nicash	Ethereum
