	symbol	available_exchanges	currency_base	currency_quote
132	ALTC/USD	['Synthetic']	Antilitecoin	US Dollar
133	AMB/BTC	['Binance', 'Kucoin']	Ambrosus	Bitcoin
134	AMBER/USD	['Synthetic']	AmberCoin	US Dollar
135	AMB/ETH	['HitBTC', 'Kucoin']	Ambrosus	Ethereum
136	AMB/USD	['HitBTC', 'Synthetic']	Ambrosus	US Dollar
137	AMM/BTC	['Mercatox']	MicroMoney	Bitcoin
138	AMM/ETH	['Mercatox']	MicroMoney	Ethereum
139	AMMO/USD	['Synthetic']	Ammo Reloaded	US Dollar
140	AMM/USD	['Synthetic']	MicroMoney	US Dollar
141	AMPL/BTC	['Kucoin']	Ampleforth	Bitcoin
142	AMPL/ETH	['Kucoin']	Ampleforth	Ethereum
143	AMPL/USD	['Gate.io', 'Kucoin']	Ampleforth	US Dollar
144	AMPt/USD	['Coinbase Pro']	Amp	US Dollar
145	AMP/USD	['Synthetic']	Synereo	US Dollar
146	AMS/BTC	['YoBit']	AmsterdamCoin	Bitcoin
147	AMS/USD	['Synthetic']	AmsterdamCoin	US Dollar
148	ANCp/BTC	['Binance']	Anchor Protocol	Bitcoin
149	ANCp/USD	['Binance', 'KuCoin']	Anchor Protocol	US Dollar
150	ANI/USD	['Synthetic']	Animecoin	US Dollar
151	ANKR/BTC	['Binance']	Ankr	Bitcoin
152	ANKR/KRW	['Upbit']	Ankr	Korean Won
153	ANKR/TRY	['BTCTurk']	Ankr	Turkish Lira
154	ANKR/USD	['Binance']	Ankr	US Dollar
155	Anoncoin/USD	['Kraken']	Anoncoin	US Dollar
156	ANT/BTC	['Binance', 'Bittrex']	Aragon	Bitcoin
157	ANT/ETH	['Bitfinex', 'Bittrex']	Aragon	Ethereum
158	ANTI/USD	['Synthetic']	AntiBitcoin	US Dollar
159	ANT/USD	['Binance', 'Bitfinex']	Aragon	US Dollar
160	ANTX/USD	['Synthetic']	Antimatter	US Dollar
161	ANY/BTC	['Binance']	Anyswap	Bitcoin
162	ANY/USD	['Binance']	Anyswap	US Dollar
163	AOAR/BTC	['Kucoin']	Aurora	Bitcoin
164	AOAR/USD	['Synthetic']	Aurora	US Dollar
165	APE/BTC	['Binance']	ApeCoin	Bitcoin
166	APE/CAD	['Synthetic']	ApeCoin	Canadian Dollar
167	APE/USD	['Binance', 'Coinbase Pro', 'Huobi']	ApeCoin	US Dollar
168	API3/USD	['Binance', 'Gate.io']	API3	US Dollar
169	APIS/USD	['Synthetic']	APIS	US Dollar
170	APL/BTC	['BitMart']	Apollo Currency	Bitcoin
171	APL/USD	['Synthetic']	Apollo Currency	US Dollar
172	APPC/BTC	['Binance', 'Huobi']	AppCoins	Bitcoin
173	APPC/ETH	['HitBTC']	AppCoins	Ethereum
174	APPC/USD	['Synthetic']	AppCoins	US Dollar
175	APT/USD	['Binance']	Aptos	US Dollar
176	APX/USD	['Synthetic']	APX	US Dollar
177	ARB/BTC	['YoBit']	ARbit	Bitcoin
178	ARBIT/USD	['Synthetic']	ARbit	US Dollar
179	ARBI/USD	['Synthetic']	ARBITRAGE	US Dollar
180	AR/BRL	['Synthetic']	Arweave	Brazil Real
181	ARB/USD	['Binance']	 Arbitrum	US Dollar
182	AR/CAD	['Synthetic']	Arweave	Canadian Dollar
183	ARCO/BTC	['YoBit']	AquariusCoin	Bitcoin
184	ARCO/USD	['Synthetic']	AquariusCoin	US Dollar
185	ARDR/BTC	['Binance', 'HitBTC']	Ardor	Bitcoin
186	ARDR/ETH	['TOKOK']	Ardor	Ethereum
187	ARDR/KRW	['Upbit']	Ardor	Korean Won
188	ARDR/USD	['Synthetic']	Ardor	US Dollar
189	AR/EUR	['Synthetic']	Arweave	Euro
190	ARGUS/BTC	['YoBit']	Argus	Bitcoin
191	ARG/USD	['Synthetic']	Argentum	US Dollar
192	ARGUS/USD	['Synthetic']	Argus	US Dollar
193	ARI/USD	['Synthetic']	Aricoin	US Dollar
194	ARK/AUD	['Synthetic']	Ark	Australian Dollar
195	ARK/BTC	['Binance', 'Bittrex']	Ark	Bitcoin
196	ARK/KRW	['Upbit']	Ark	Korean Won
197	ARK/USD	['OKEx', 'Synthetic']	Ark	US Dollar
198	ARN/ETH	['Gate.io']	Aeron	Ethereum
199	ARN/USD	['Synthetic']	Aeron	US Dollar
200	ARNX/BTC	['HitBTC']	Aeron	Bitcoin
201	ARPA/BTC	['Binance']	ARPA Chain	Bitcoin
202	ARPA/USD	['Binance']	ARPA Chain	US Dollar
203	ART/BTC	['HitBTC']	Maecenas	Bitcoin
204	ART/USD	['Synthetic']	Maecenas	US Dollar
205	AR/USD	['Binance', 'Huobi']	Arweave	US Dollar
206	ARV/USD	['ProBit Exchange']	Ariva	US Dollar
207	ASN/USD	['Synthetic']	Aseancoin	US Dollar
208	AST/BTC	['Binance', 'Huobi']	AirSwap	Bitcoin
209	ASTRO/USD	['Synthetic']	Astro	US Dollar
210	ASTR/USD	['Binance', 'Gate.io', 'KuCoin']	Astar	US Dollar
211	AST/USD	['OKEx']	AirSwap	US Dollar
212	ATA/BTC	['Binance']	Automata Network	Bitcoin
213	ATA/USD	['Binance']	Automata Network	US Dollar
214	ATB/BTC	['TOPBTC']	ATBCoin	Bitcoin
215	ATB/USD	['YoBit']	ATBCoin	US Dollar
216	ATLAS/USD	['FTX', 'Gate.io']	Star Atlas	US Dollar
217	ATL/BTC	['YoBit']	ATLANT	Bitcoin
218	ATL/USD	['Synthetic']	ATLANT	US Dollar
219	ATMS/USD	['Synthetic']	Atmos	US Dollar
220	ATM/USD	['YoBit']	ATMChain	US Dollar
221	ATOM/BNB	['Binance']	Cosmos	Binance Coin
222	ATOM/BTC	['Binance', 'OKEx']	Cosmos	Bitcoin
223	ATOM/CAD	['Synthetic']	Cosmos	Canadian Dollar
224	ATOMc/USD	['Synthetic']	Atomic Coin	US Dollar
225	ATOM/ETH	['Huobi', 'OKEx']	Cosmos	Ethereum
226	ATOM/EUR	['Kraken']	Cosmos	Euro
227	ATOM/INR	['Bitbns']	Cosmos	Indian Rupee
228	ATOM/TRY	['BTCTurk', 'Paribu']	Cosmos	Turkish Lira
229	ATOM/USD	['Binance', 'OKEx']	Cosmos	US Dollar
230	ATS/BNT	['Bancor Network']	Authorship	Bancor
231	ATS/USD	['Synthetic']	Authorship	US Dollar
232	ATX/BTC	['Livecoin']	Artex Coin	Bitcoin
233	ATXN/BTC	['Coinbene']	Aston	Bitcoin
234	ATXN/USD	['Synthetic']	Aston	US Dollar
235	ATX/USD	['Synthetic']	Artex Coin	US Dollar
236	AUDIO/BTC	['Binance']	Audius	Bitcoin
237	AUDIO/EUR	['BitStamp']	Audius	Euro
